epoch,dense_1_accuracy,dense_1_loss,dense_2_accuracy,dense_2_loss,dense_3_accuracy,dense_3_loss,dense_4_accuracy,dense_4_loss,dense_accuracy,dense_loss,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_2_accuracy,val_dense_2_loss,val_dense_3_accuracy,val_dense_3_loss,val_dense_4_accuracy,val_dense_4_loss,val_dense_accuracy,val_dense_loss,val_loss
0,0.9849609136581421,0.04166974872350693,0.9845625162124634,0.04367098584771156,0.985226571559906,0.04154760390520096,0.9893984198570251,0.028270218521356583,0.9885937571525574,0.02961534820497036,0.18477387726306915,0.9853906035423279,0.03617067635059357,0.9850000143051147,0.04257754236459732,0.9861719012260437,0.040102094411849976,0.9905468821525574,0.026216458529233932,0.9896093606948853,0.026302454993128777,0.17136922478675842
1,0.9861953258514404,0.03724639117717743,0.985421895980835,0.03985079377889633,0.9865859150886536,0.036351270973682404,0.9899765849113464,0.026207415387034416,0.989578127861023,0.027648236602544785,0.16730405390262604,0.9864843487739563,0.036067746579647064,0.985546886920929,0.03796429932117462,0.9862499833106995,0.03538293018937111,0.9900781512260437,0.02689138799905777,0.9899218678474426,0.026464471593499184,0.1627708375453949
2,0.986984372138977,0.03537779673933983,0.9863125085830688,0.03644491732120514,0.9863203167915344,0.03631211444735527,0.9909062385559082,0.0241998378187418,0.9901015758514404,0.025787143036723137,0.15812191367149353,0.9849218726158142,0.038262076675891876,0.9853906035423279,0.039638686925172806,0.98828125,0.03439916670322418,0.9908593893051147,0.02492133155465126,0.9893749952316284,0.025249529629945755,0.16247080266475677
3,0.9873281121253967,0.03430250287055969,0.9873124957084656,0.03396230936050415,0.9880234599113464,0.03252112492918968,0.9911640882492065,0.023506974801421165,0.9909374713897705,0.024286428466439247,0.14857926964759827,0.9881250262260437,0.030387723818421364,0.985156238079071,0.037203818559646606,0.9862499833106995,0.03470037505030632,0.9892968535423279,0.028502685949206352,0.990234375,0.025294480845332146,0.15608908236026764
4,0.9879687428474426,0.03325580433011055,0.9877812266349792,0.03283122926950455,0.9884374737739563,0.03167922794818878,0.9915234446525574,0.022718818858265877,0.9908984303474426,0.023983394727110863,0.14446833729743958,0.9885937571525574,0.028257451951503754,0.9886718988418579,0.0329228974878788,0.987109363079071,0.034613095223903656,0.9907031059265137,0.024664606899023056,0.9907031059265137,0.025008883327245712,0.14546692371368408
5,0.9879140853881836,0.03319248557090759,0.9877578020095825,0.033171046525239944,0.9880703091621399,0.03292280435562134,0.9917343854904175,0.022142786532640457,0.9907812476158142,0.023673802614212036,0.14510279893875122,0.987500011920929,0.03372402489185333,0.987109363079071,0.03436468541622162,0.9888281226158142,0.03140571713447571,0.9917968511581421,0.022205201908946037,0.9923437237739563,0.02132253721356392,0.14302214980125427
6,0.9887577891349792,0.030700335279107094,0.9878047108650208,0.033167049288749695,0.9885937571525574,0.03132433816790581,0.9919219017028809,0.021458856761455536,0.9913906455039978,0.022701453417539597,0.13935214281082153,0.9888281226158142,0.0310145802795887,0.9887499809265137,0.03140123933553696,0.9884374737739563,0.03251272439956665,0.9918749928474426,0.021623237058520317,0.9916406273841858,0.021130215376615524,0.1376820057630539
7,0.9884531497955322,0.03100612387061119,0.9882265329360962,0.031515564769506454,0.9887812733650208,0.03015321120619774,0.9920781254768372,0.021119607612490654,0.9916796684265137,0.02211536094546318,0.13590985536575317,0.9892968535423279,0.029968874529004097,0.9893749952316284,0.028826145455241203,0.9898437261581421,0.027682170271873474,0.9923437237739563,0.02046012319624424,0.991015613079071,0.023438848555088043,0.1303762048482895
8,0.9883593916893005,0.03110005520284176,0.9883671998977661,0.03097175993025303,0.9892500042915344,0.029269671067595482,0.9918437600135803,0.021127168089151382,0.9921327829360962,0.01993989571928978,0.13240864872932434,0.9895312786102295,0.029441475868225098,0.9871875047683716,0.03670816496014595,0.9887499809265137,0.033908285200595856,0.992968738079071,0.02020682580769062,0.9927343726158142,0.019619246944785118,0.13988400995731354
9,0.9890859127044678,0.02961789071559906,0.988656222820282,0.030730118975043297,0.9890468716621399,0.029105836525559425,0.9919140338897705,0.02038240246474743,0.9919687509536743,0.021949924528598785,0.13178621232509613,0.9885156154632568,0.030941834673285484,0.9881250262260437,0.031011682003736496,0.9892968535423279,0.03087262623012066,0.9917968511581421,0.02072119526565075,0.9921093583106995,0.020262593403458595,0.13380995392799377
